state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
ALABAMA,Real PCE,Obama 2,Barack Obama,2013-2017,9.01,2.18,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36
ALASKA,Real PCE,Obama 2,Barack Obama,2013-2017,2.81,0.7,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55
ARIZONA,Real PCE,Obama 2,Barack Obama,2013-2017,15.06,3.57,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0
ARKANSAS,Real PCE,Obama 2,Barack Obama,2013-2017,11.33,2.72,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65
CALIFORNIA,Real PCE,Obama 2,Barack Obama,2013-2017,14.09,3.35,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62
COLORADO,Real PCE,Obama 2,Barack Obama,2013-2017,19.57,4.57,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25
CONNECTICUT,Real PCE,Obama 2,Barack Obama,2013-2017,7.52,1.83,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93
DELAWARE,Real PCE,Obama 2,Barack Obama,2013-2017,9.34,2.26,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92
DISTRICT OF COLUMBIA,Real PCE,Obama 2,Barack Obama,2013-2017,14.86,3.53,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07
FLORIDA,Real PCE,Obama 2,Barack Obama,2013-2017,16.23,3.83,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82
GEORGIA,Real PCE,Obama 2,Barack Obama,2013-2017,14.3,3.4,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64
HAWAII,Real PCE,Obama 2,Barack Obama,2013-2017,11.09,2.67,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44
IDAHO,Real PCE,Obama 2,Barack Obama,2013-2017,13.95,3.33,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49
ILLINOIS,Real PCE,Obama 2,Barack Obama,2013-2017,8.46,2.06,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76
INDIANA,Real PCE,Obama 2,Barack Obama,2013-2017,12.76,3.05,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77
IOWA,Real PCE,Obama 2,Barack Obama,2013-2017,10.6,2.55,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75
KANSAS,Real PCE,Obama 2,Barack Obama,2013-2017,8.01,1.95,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05
KENTUCKY,Real PCE,Obama 2,Barack Obama,2013-2017,10.83,2.61,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68
LOUISIANA,Real PCE,Obama 2,Barack Obama,2013-2017,8.06,1.96,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45
MAINE,Real PCE,Obama 2,Barack Obama,2013-2017,11.27,2.74,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48
MARYLAND,Real PCE,Obama 2,Barack Obama,2013-2017,8.76,2.12,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0
MASSACHUSETTS,Real PCE,Obama 2,Barack Obama,2013-2017,7.79,1.91,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29
MICHIGAN,Real PCE,Obama 2,Barack Obama,2013-2017,14.21,3.38,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27
MINNESOTA,Real PCE,Obama 2,Barack Obama,2013-2017,11.08,2.66,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93
MISSISSIPPI,Real PCE,Obama 2,Barack Obama,2013-2017,6.94,1.7,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11
MISSOURI,Real PCE,Obama 2,Barack Obama,2013-2017,8.84,2.15,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14
MONTANA,Real PCE,Obama 2,Barack Obama,2013-2017,8.05,1.96,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94
NEBRASKA,Real PCE,Obama 2,Barack Obama,2013-2017,11.95,2.86,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.75,"CLINTON, HILLARY",DEMOCRAT,33.7
NEVADA,Real PCE,Obama 2,Barack Obama,2013-2017,16.34,3.86,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.92,"TRUMP, DONALD J.",REPUBLICAN,45.5
NEW HAMPSHIRE,Real PCE,Obama 2,Barack Obama,2013-2017,6.97,1.7,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.83,"TRUMP, DONALD J.",REPUBLICAN,46.46
NEW JERSEY,Real PCE,Obama 2,Barack Obama,2013-2017,7.41,1.8,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.45,"TRUMP, DONALD J.",REPUBLICAN,41.35
NEW MEXICO,Real PCE,Obama 2,Barack Obama,2013-2017,6.51,1.6,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.26,"TRUMP, DONALD J.",REPUBLICAN,40.04
NEW YORK,Real PCE,Obama 2,Barack Obama,2013-2017,11.25,2.71,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,56.14,"TRUMP, DONALD J.",REPUBLICAN,32.39
NORTH CAROLINA,Real PCE,Obama 2,Barack Obama,2013-2017,13.77,3.28,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.83,"CLINTON, HILLARY",DEMOCRAT,46.17
NORTH DAKOTA,Real PCE,Obama 2,Barack Obama,2013-2017,8.18,2.02,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.96,"CLINTON, HILLARY",DEMOCRAT,27.23
OHIO,Real PCE,Obama 2,Barack Obama,2013-2017,10.38,2.5,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.69,"CLINTON, HILLARY",DEMOCRAT,43.56
OKLAHOMA,Real PCE,Obama 2,Barack Obama,2013-2017,6.72,1.64,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.32,"CLINTON, HILLARY",DEMOCRAT,28.93
OREGON,Real PCE,Obama 2,Barack Obama,2013-2017,16.45,3.88,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,50.07,"TRUMP, DONALD J.",REPUBLICAN,39.09
PENNSYLVANIA,Real PCE,Obama 2,Barack Obama,2013-2017,5.37,1.32,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.58,"CLINTON, HILLARY",DEMOCRAT,47.85
RHODE ISLAND,Real PCE,Obama 2,Barack Obama,2013-2017,7.53,1.84,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.41,"TRUMP, DONALD J.",REPUBLICAN,38.9
SOUTH CAROLINA,Real PCE,Obama 2,Barack Obama,2013-2017,13.48,3.21,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,54.94,"CLINTON, HILLARY",DEMOCRAT,40.67
SOUTH DAKOTA,Real PCE,Obama 2,Barack Obama,2013-2017,14.95,3.55,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.53,"CLINTON, HILLARY",DEMOCRAT,31.74
