state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
SOUTH DAKOTA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,20.57,4.9,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.77,"BIDEN, JOSEPH R. JR",DEMOCRAT,35.61
TENNESSEE,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.04,5.12,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.66,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.45
TEXAS,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,12.65,3.04,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.06,"BIDEN, JOSEPH R. JR",DEMOCRAT,46.48
UTAH,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,29.44,6.69,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.13,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.65
VERMONT,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.52,3.23,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.46,"TRUMP, DONALD J.",REPUBLICAN,30.38
VIRGINIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,11.82,2.84,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.11,"TRUMP, DONALD J.",REPUBLICAN,44.0
WASHINGTON,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,17.52,4.12,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.97,"TRUMP, DONALD J.",REPUBLICAN,38.77
WEST VIRGINIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,12.76,3.07,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"BIDEN, JOSEPH R. JR",DEMOCRAT,29.7
WISCONSIN,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.11,3.6,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.45,"TRUMP, DONALD J.",REPUBLICAN,48.82
WYOMING,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.62,5.26,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,69.5,"BIDEN, JOSEPH R. JR",DEMOCRAT,26.39
