state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.98,3.78,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,51.26,"TRUMP, DONALD J.",REPUBLICAN,46.82
ALABAMA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.52,4.35,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.03,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.57
ALASKA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,6.51,1.61,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.83,"BIDEN, JOSEPH R. JR",DEMOCRAT,42.77
ARIZONA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.56,5.24,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.36,"TRUMP, DONALD J.",REPUBLICAN,49.06
ARKANSAS,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,16.69,3.97,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.4,"BIDEN, JOSEPH R. JR",DEMOCRAT,34.78
CALIFORNIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,20.13,4.71,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.48,"TRUMP, DONALD J.",REPUBLICAN,34.32
COLORADO,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,21.6,5.04,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,55.01,"TRUMP, DONALD J.",REPUBLICAN,41.6
CONNECTICUT,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.06,3.13,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.26,"TRUMP, DONALD J.",REPUBLICAN,39.19
DELAWARE,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,10.66,2.57,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,58.74,"TRUMP, DONALD J.",REPUBLICAN,39.77
DISTRICT OF COLUMBIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,11.28,2.73,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,92.15,"TRUMP, DONALD J.",REPUBLICAN,5.4
FLORIDA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,17.26,4.06,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,47.86
GEORGIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.19,3.38,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.47,"TRUMP, DONALD J.",REPUBLICAN,49.24
HAWAII,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,8.89,2.16,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.15,"TRUMP, DONALD J.",REPUBLICAN,33.95
IDAHO,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,27.27,6.23,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,63.84,"BIDEN, JOSEPH R. JR",DEMOCRAT,33.07
ILLINOIS,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.09,3.35,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.54,"TRUMP, DONALD J.",REPUBLICAN,40.55
INDIANA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.74,3.76,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.02,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.96
IOWA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.53,3.28,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,44.65
KANSAS,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,12.55,3.01,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.21,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.56
KENTUCKY,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.56,4.37,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.15
LOUISIANA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,17.21,4.06,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.46,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.85
MAINE,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.6,4.37,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.53,"TRUMP, DONALD J.",REPUBLICAN,43.55
MARYLAND,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,9.43,2.28,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.36,"TRUMP, DONALD J.",REPUBLICAN,32.15
MASSACHUSETTS,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,16.92,4.0,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.12,"TRUMP, DONALD J.",REPUBLICAN,31.91
MICHIGAN,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.46,3.26,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.62,"TRUMP, DONALD J.",REPUBLICAN,47.84
MINNESOTA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.13,3.16,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.4,"TRUMP, DONALD J.",REPUBLICAN,45.28
MISSISSIPPI,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,19.69,4.63,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.6,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.06
MISSOURI,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.67,3.73,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.41
MONTANA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.96,5.34,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.92,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.55
NEBRASKA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.94,3.6,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.17
NEVADA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,24.23,5.61,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.06,"TRUMP, DONALD J.",REPUBLICAN,47.67
NEW HAMPSHIRE,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,20.42,4.77,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.71,"TRUMP, DONALD J.",REPUBLICAN,45.36
NEW JERSEY,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.18,3.16,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.33,"TRUMP, DONALD J.",REPUBLICAN,41.4
NEW MEXICO,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,26.41,6.06,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.29,"TRUMP, DONALD J.",REPUBLICAN,43.5
NEW YORK,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,12.49,2.99,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,60.39,"TRUMP, DONALD J.",REPUBLICAN,37.46
NORTH CAROLINA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,17.41,4.11,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.93,"BIDEN, JOSEPH R. JR",DEMOCRAT,48.59
NORTH DAKOTA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.88,3.36,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.11,"BIDEN, JOSEPH R. JR",DEMOCRAT,31.76
OHIO,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.73,3.3,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,53.27,"BIDEN, JOSEPH R. JR",DEMOCRAT,45.24
OKLAHOMA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.25,3.62,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.37,"BIDEN, JOSEPH R. JR",DEMOCRAT,32.29
OREGON,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.32,4.33,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,56.45,"TRUMP, DONALD J.",REPUBLICAN,40.37
PENNSYLVANIA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,16.31,3.86,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.01,"TRUMP, DONALD J.",REPUBLICAN,48.84
RHODE ISLAND,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.82,3.54,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.48,"TRUMP, DONALD J.",REPUBLICAN,38.67
SOUTH CAROLINA,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.3,3.41,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,55.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,43.42
