state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
ALABAMA,Real PCE,Trump,Donald Trump,2017-2021,14.18,3.42,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.03,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.57
ALASKA,Real PCE,Trump,Donald Trump,2017-2021,4.57,1.19,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.83,"BIDEN, JOSEPH R. JR",DEMOCRAT,42.77
ARIZONA,Real PCE,Trump,Donald Trump,2017-2021,20.52,4.9,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.36,"TRUMP, DONALD J.",REPUBLICAN,49.06
ARKANSAS,Real PCE,Trump,Donald Trump,2017-2021,11.25,2.75,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.4,"BIDEN, JOSEPH R. JR",DEMOCRAT,34.78
CALIFORNIA,Real PCE,Trump,Donald Trump,2017-2021,11.99,3.0,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.48,"TRUMP, DONALD J.",REPUBLICAN,34.32
COLORADO,Real PCE,Trump,Donald Trump,2017-2021,17.03,4.15,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,55.01,"TRUMP, DONALD J.",REPUBLICAN,41.6
CONNECTICUT,Real PCE,Trump,Donald Trump,2017-2021,11.02,2.76,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.26,"TRUMP, DONALD J.",REPUBLICAN,39.19
DELAWARE,Real PCE,Trump,Donald Trump,2017-2021,12.47,3.05,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,58.74,"TRUMP, DONALD J.",REPUBLICAN,39.77
DISTRICT OF COLUMBIA,Real PCE,Trump,Donald Trump,2017-2021,6.16,1.68,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,92.15,"TRUMP, DONALD J.",REPUBLICAN,5.4
FLORIDA,Real PCE,Trump,Donald Trump,2017-2021,16.31,3.95,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,47.86
