state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
GEORGIA,Real PCE,Trump,Donald Trump,2017-2021,13.57,3.3,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.47,"TRUMP, DONALD J.",REPUBLICAN,49.24
HAWAII,Real PCE,Trump,Donald Trump,2017-2021,5.7,1.54,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,63.15,"TRUMP, DONALD J.",REPUBLICAN,33.95
IDAHO,Real PCE,Trump,Donald Trump,2017-2021,26.68,6.17,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,63.84,"BIDEN, JOSEPH R. JR",DEMOCRAT,33.07
ILLINOIS,Real PCE,Trump,Donald Trump,2017-2021,5.98,1.53,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.54,"TRUMP, DONALD J.",REPUBLICAN,40.55
INDIANA,Real PCE,Trump,Donald Trump,2017-2021,8.69,2.14,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.02,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.96
IOWA,Real PCE,Trump,Donald Trump,2017-2021,6.3,1.62,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,44.65
KANSAS,Real PCE,Trump,Donald Trump,2017-2021,7.25,1.82,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.21,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.56
KENTUCKY,Real PCE,Trump,Donald Trump,2017-2021,11.47,2.81,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,36.15
LOUISIANA,Real PCE,Trump,Donald Trump,2017-2021,9.22,2.29,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.46,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.85
MAINE,Real PCE,Trump,Donald Trump,2017-2021,13.15,3.24,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.53,"TRUMP, DONALD J.",REPUBLICAN,43.55
MARYLAND,Real PCE,Trump,Donald Trump,2017-2021,5.38,1.42,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.36,"TRUMP, DONALD J.",REPUBLICAN,32.15
MASSACHUSETTS,Real PCE,Trump,Donald Trump,2017-2021,8.26,2.18,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.12,"TRUMP, DONALD J.",REPUBLICAN,31.91
MICHIGAN,Real PCE,Trump,Donald Trump,2017-2021,5.66,1.45,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.62,"TRUMP, DONALD J.",REPUBLICAN,47.84
MINNESOTA,Real PCE,Trump,Donald Trump,2017-2021,3.62,0.98,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.4,"TRUMP, DONALD J.",REPUBLICAN,45.28
MISSISSIPPI,Real PCE,Trump,Donald Trump,2017-2021,9.91,2.42,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.6,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.06
MISSOURI,Real PCE,Trump,Donald Trump,2017-2021,8.0,2.0,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.8,"BIDEN, JOSEPH R. JR",DEMOCRAT,41.41
MONTANA,Real PCE,Trump,Donald Trump,2017-2021,20.34,4.85,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.92,"BIDEN, JOSEPH R. JR",DEMOCRAT,40.55
NEBRASKA,Real PCE,Trump,Donald Trump,2017-2021,7.09,1.83,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.22,"BIDEN, JOSEPH R. JR",DEMOCRAT,39.17
NEVADA,Real PCE,Trump,Donald Trump,2017-2021,21.75,5.18,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.06,"TRUMP, DONALD J.",REPUBLICAN,47.67
NEW HAMPSHIRE,Real PCE,Trump,Donald Trump,2017-2021,11.64,2.89,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,52.71,"TRUMP, DONALD J.",REPUBLICAN,45.36
NEW JERSEY,Real PCE,Trump,Donald Trump,2017-2021,10.74,2.71,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.33,"TRUMP, DONALD J.",REPUBLICAN,41.4
NEW MEXICO,Real PCE,Trump,Donald Trump,2017-2021,16.78,4.11,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.29,"TRUMP, DONALD J.",REPUBLICAN,43.5
NEW YORK,Real PCE,Trump,Donald Trump,2017-2021,6.1,1.6,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,60.39,"TRUMP, DONALD J.",REPUBLICAN,37.46
NORTH CAROLINA,Real PCE,Trump,Donald Trump,2017-2021,15.45,3.69,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.93,"BIDEN, JOSEPH R. JR",DEMOCRAT,48.59
NORTH DAKOTA,Real PCE,Trump,Donald Trump,2017-2021,4.08,1.05,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.11,"BIDEN, JOSEPH R. JR",DEMOCRAT,31.76
OHIO,Real PCE,Trump,Donald Trump,2017-2021,6.7,1.68,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,53.27,"BIDEN, JOSEPH R. JR",DEMOCRAT,45.24
OKLAHOMA,Real PCE,Trump,Donald Trump,2017-2021,11.02,2.71,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.37,"BIDEN, JOSEPH R. JR",DEMOCRAT,32.29
OREGON,Real PCE,Trump,Donald Trump,2017-2021,11.38,2.8,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,56.45,"TRUMP, DONALD J.",REPUBLICAN,40.37
PENNSYLVANIA,Real PCE,Trump,Donald Trump,2017-2021,10.21,2.55,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.01,"TRUMP, DONALD J.",REPUBLICAN,48.84
RHODE ISLAND,Real PCE,Trump,Donald Trump,2017-2021,10.96,2.69,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.48,"TRUMP, DONALD J.",REPUBLICAN,38.67
SOUTH CAROLINA,Real PCE,Trump,Donald Trump,2017-2021,13.95,3.34,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,55.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,43.42
SOUTH DAKOTA,Real PCE,Trump,Donald Trump,2017-2021,8.99,2.27,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.77,"BIDEN, JOSEPH R. JR",DEMOCRAT,35.61
TENNESSEE,Real PCE,Trump,Donald Trump,2017-2021,17.34,4.15,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.66,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.45
TEXAS,Real PCE,Trump,Donald Trump,2017-2021,14.11,3.44,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.06,"BIDEN, JOSEPH R. JR",DEMOCRAT,46.48
UTAH,Real PCE,Trump,Donald Trump,2017-2021,30.47,6.95,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.13,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.65
VERMONT,Real PCE,Trump,Donald Trump,2017-2021,8.33,2.15,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.46,"TRUMP, DONALD J.",REPUBLICAN,30.38
VIRGINIA,Real PCE,Trump,Donald Trump,2017-2021,8.57,2.14,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.11,"TRUMP, DONALD J.",REPUBLICAN,44.0
WASHINGTON,Real PCE,Trump,Donald Trump,2017-2021,12.85,3.14,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.97,"TRUMP, DONALD J.",REPUBLICAN,38.77
WEST VIRGINIA,Real PCE,Trump,Donald Trump,2017-2021,3.71,0.92,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"BIDEN, JOSEPH R. JR",DEMOCRAT,29.7
WISCONSIN,Real PCE,Trump,Donald Trump,2017-2021,8.45,2.1,2020,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.45,"TRUMP, DONALD J.",REPUBLICAN,48.82
WYOMING,Real PCE,Trump,Donald Trump,2017-2021,16.49,3.94,2020,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,69.5,"BIDEN, JOSEPH R. JR",DEMOCRAT,26.39
