Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
2020,NORTH DAKOTA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.11,"BIDEN, JOSEPH R. JR",DEMOCRAT,31.76
2020,OHIO,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,53.27,"BIDEN, JOSEPH R. JR",DEMOCRAT,45.24
2020,OKLAHOMA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.37,"BIDEN, JOSEPH R. JR",DEMOCRAT,32.29
2020,OREGON,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,56.45,"TRUMP, DONALD J.",REPUBLICAN,40.37
2020,PENNSYLVANIA,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,50.01,"TRUMP, DONALD J.",REPUBLICAN,48.84
2020,RHODE ISLAND,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,59.48,"TRUMP, DONALD J.",REPUBLICAN,38.67
2020,SOUTH CAROLINA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,55.09,"BIDEN, JOSEPH R. JR",DEMOCRAT,43.42
2020,SOUTH DAKOTA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.77,"BIDEN, JOSEPH R. JR",DEMOCRAT,35.61
2020,TENNESSEE,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.66,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.45
2020,TEXAS,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.06,"BIDEN, JOSEPH R. JR",DEMOCRAT,46.48
2020,UTAH,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.13,"BIDEN, JOSEPH R. JR",DEMOCRAT,37.65
2020,VERMONT,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,65.46,"TRUMP, DONALD J.",REPUBLICAN,30.38
2020,VIRGINIA,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,54.11,"TRUMP, DONALD J.",REPUBLICAN,44.0
2020,WASHINGTON,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,57.97,"TRUMP, DONALD J.",REPUBLICAN,38.77
2020,WEST VIRGINIA,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"BIDEN, JOSEPH R. JR",DEMOCRAT,29.7
2020,WISCONSIN,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,49.45,"TRUMP, DONALD J.",REPUBLICAN,48.82
2020,WYOMING,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,69.5,"BIDEN, JOSEPH R. JR",DEMOCRAT,26.39
2008,UNITED STATES,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.76,"MCCAIN, JOHN",REPUBLICAN,45.36
2012,UNITED STATES,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.87,"ROMNEY, MITT",REPUBLICAN,46.98
2016,UNITED STATES,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.21,"TRUMP, DONALD J.",REPUBLICAN,44.92
2020,UNITED STATES,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,51.26,"TRUMP, DONALD J.",REPUBLICAN,46.82
