Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88
2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12
2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13
2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75
2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98
2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28
2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13
2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51
2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68
2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62
2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73
2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93
2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18
2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99
2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8
2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58
2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33
2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9
2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32
2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71
2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96
2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79
2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38
2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7
2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03
2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68
2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4
2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62
2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84
2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24
2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35
2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7
2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69
2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23
2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15
2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68
2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24
2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09
2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87
2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08
2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38
2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75
2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97
2012,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.16,"ROMNEY, MITT",REPUBLICAN,47.28
